F-volt,Object,Type
4.916911046,Rubber,S
4.91202346,Rubber,S
4.916911046,Rubber,S
4.916911046,Rubber,S
4.916911046,Rubber,S
4.91202346,Rubber,S
4.921798631,Rubber,S
4.916911046,Rubber,S
4.91202346,Rubber,S
4.916911046,Rubber,S
4.91202346,Rubber,S
4.916911046,Rubber,S
4.921798631,Rubber,S
4.916911046,Rubber,S
4.916911046,Rubber,S
4.916911046,Rubber,S
4.921798631,Rubber,S
4.921798631,Rubber,S
4.916911046,Rubber,S
4.916911046,Rubber,S
4.916911046,Rubber,S
4.838709677,Thermocol,S
4.853372434,Thermocol,S
4.85826002,Thermocol,S
4.863147605,Thermocol,S
4.863147605,Thermocol,S
4.868035191,Thermocol,S
4.868035191,Thermocol,S
4.863147605,Thermocol,S
4.868035191,Thermocol,S
4.85826002,Thermocol,S
4.872922776,Thermocol,S
4.877810362,Thermocol,S
4.872922776,Thermocol,S
4.872922776,Thermocol,S
4.877810362,Thermocol,S
4.877810362,Thermocol,S
4.872922776,Thermocol,S
4.863147605,Thermocol,S
4.877810362,Thermocol,S
4.877810362,Thermocol,S
4.868035191,Thermocol,S
4.877810362,Thermocol,S
4.872922776,Thermocol,S
4.398826979,Thermocol,S
4.872922776,Thermocol,S
4.872922776,Thermocol,S
4.872922776,Thermocol,S
4.877810362,Thermocol,S
4.863147605,Thermocol,S
4.872922776,Thermocol,S
4.877810362,Thermocol,S
3.968719453,Hollow TPU,S
4.291300098,Hollow TPU,S
4.638318671,Hollow TPU,S
4.012707722,Hollow TPU,S
4.579667644,Hollow TPU,S
4.81427175,Hollow TPU,S
4.72629521,Hollow TPU,S
4.81427175,Hollow TPU,S
4.740957967,Hollow TPU,S
4.755620723,Hollow TPU,S
4.731182796,Hollow TPU,S
4.296187683,Hollow TPU,S
4.692082111,Hollow TPU,S
4.740957967,Hollow TPU,S
4.613880743,Hollow TPU,S
4.687194526,Hollow TPU,S
4.672531769,Hollow TPU,S
4.68230694,Hollow TPU,S
4.692082111,Hollow TPU,S
4.706744868,Hollow TPU,S
4.711632454,Hollow TPU,S
4.721407625,Hollow TPU,S
4.736070381,Hollow TPU,S
4.711632454,Hollow TPU,S
4.72629521,Hollow TPU,S
4.828934506,Hollow TPU,S
4.345063539,Hollow TPU,S
4.81427175,Hollow TPU,S
4.843597263,Hollow TPU,S
4.819159335,Hollow TPU,S
4.804496579,Hollow TPU,S
4.853372434,Green Sponge,S
4.85826002,Green Sponge,S
4.863147605,Green Sponge,S
4.868035191,Green Sponge,S
4.868035191,Green Sponge,S
4.863147605,Green Sponge,S
4.868035191,Green Sponge,S
4.863147605,Green Sponge,S
4.863147605,Green Sponge,S
4.863147605,Green Sponge,S
4.868035191,Green Sponge,S
4.863147605,Green Sponge,S
4.863147605,Green Sponge,S
4.868035191,Green Sponge,S
4.868035191,Green Sponge,S
4.872922776,Green Sponge,S
4.868035191,Green Sponge,S
4.872922776,Green Sponge,S
